open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
54.74,55.81,54.53,55.5,19235612.0,55.81,54.53,55.5,54.74,19235612.0,1.0,0.0,CSCO,XNAS,2024-11-01T00:00:00+0000
55.43,55.51,54.705,54.77,22023370.0,55.51,54.705,54.77,55.43,22023370.0,1.0,0.0,CSCO,XNAS,2024-10-31T00:00:00+0000
55.57,56.04,55.37,55.59,13284261.0,56.04,55.37,55.59,55.57,13284261.0,1.0,0.0,CSCO,XNAS,2024-10-30T00:00:00+0000
55.37,56.105,55.27,55.68,18810078.0,56.105,55.27,55.68,55.37,18810078.0,1.0,0.0,CSCO,XNAS,2024-10-29T00:00:00+0000
55.9,55.98,55.21,55.28,12912311.0,55.98,55.21,55.28,55.9,12912311.0,1.0,0.0,CSCO,XNAS,2024-10-28T00:00:00+0000
56.25,56.6253,55.6656,55.74,14680466.0,56.6253,55.6656,55.74,56.25,14680466.0,1.0,0.0,CSCO,XNAS,2024-10-25T00:00:00+0000
56.375,56.55,55.81,55.96,14699588.0,56.55,55.81,55.96,56.375,14699588.0,1.0,0.0,CSCO,XNAS,2024-10-24T00:00:00+0000
56.16,56.59,55.99,56.28,18722973.0,56.59,55.99,56.28,56.16,18722973.0,1.0,0.0,CSCO,XNAS,2024-10-23T00:00:00+0000
56.0,56.9,55.86,56.6,14956301.0,56.9,55.86,56.6,56.0,14956301.0,1.0,0.0,CSCO,XNAS,2024-10-22T00:00:00+0000
56.69,57.055,56.51,56.59,14083608.0,57.055,56.51,56.59,56.69,14083608.0,1.0,0.0,CSCO,XNAS,2024-10-21T00:00:00+0000
56.42,56.87,56.21,56.76,17679841.0,56.87,56.21,56.76,56.41,17679841.0,1.0,0.0,CSCO,XNAS,2024-10-18T00:00:00+0000
56.375,56.575,55.85,56.4,18383351.0,56.575,55.85,56.4,56.375,18383351.0,1.0,0.0,CSCO,XNAS,2024-10-17T00:00:00+0000
55.0,56.41,54.83,56.38,32382277.0,56.41,54.83,56.38,55.0,32382277.0,1.0,0.0,CSCO,XNAS,2024-10-16T00:00:00+0000
54.42,54.61,53.92,54.08,20066281.0,54.61,53.92,54.08,54.42,20066281.0,1.0,0.0,CSCO,XNAS,2024-10-15T00:00:00+0000
54.31,54.405,53.79,54.27,11428687.0,54.405,53.79,54.27,54.31,11428687.0,1.0,0.0,CSCO,XNAS,2024-10-14T00:00:00+0000
